Method,m=100 mean,m=100 std,m=400 mean,m=400 std
LISTA T=1,0.027740708862741787,2.0154632254313253e-05,0.010602757334709167,2.154093299431536e-05
LISTA T=3,0.018280161544680595,5.140059376549174e-05,0.007941696171959242,9.088952625682663e-06
LISTA T=7,0.014533138213058313,8.205812369550893e-05,0.007469612484176953,2.780138106665175e-05
FISTA @ iter 1,0.27279719710350037,,0.06301955878734589,
FISTA @ iter 3,0.20127418637275696,,0.05680586397647858,
FISTA @ iter 7,0.11787231266498566,,0.04767961427569389,
