Method,m=100 mean,m=100 std,m=400 mean,m=400 std
LISTA T=1,1.4060446818669636,0.0019254653901288538,2.0991772015889487,0.0024088152010945116
LISTA T=3,0.902868926525116,0.0021940028658698264,1.571024497350057,0.008379685327323735
LISTA T=7,0.7074413895606995,0.0036343047054808735,1.4668876727422078,0.012398192848193275
FISTA @ iter 1,14.195298194885254,,12.997562408447266,
FISTA @ iter 3,10.58692455291748,,11.746932029724121,
FISTA @ iter 7,6.335779666900635,,9.898028373718262,
