algorithm,step,error
ISTA,1,0.7368630766868591
ISTA,2,0.3889361619949341
ISTA,3,0.2518261671066284
ISTA,4,0.18150892853736877
ISTA,5,0.139737069606781
ISTA,6,0.11249233782291412
ISTA,7,0.09354078024625778
LISTA,1,0.039036162197589874
LISTA,2,0.007629054132848978
LISTA,3,0.006820077542215586
LISTA,4,0.006924904882907867
LISTA,5,0.00700569711625576
LISTA,6,0.006993416231125593
LISTA,7,0.006669006310403347
